Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,suma,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,,%Toxicos
59,4.21428571428571,8797,8,3.22196900130503,8871.43625471559,1262,83426,10143,13099,0,0,,17558,4198,4.8,9.6,1067,244,16.5,1047,747,291,130154,,34706,1,382,475,173,16,,,0,0,21865,1,3,1047,0,0,0.9,0.33620336203362,984,0,30,0,745,3,495,2,13247,48780,0,0,386223.136203362,2
18,9,8738,4,14.1093474426808,8783.10934744268,1262,83420,10143,13099,0,0,,17553,4198,4.8,9.6,1067,244,16.5,1047,747,291,130146,,34702,1,382,475,173,16,,,0,0,21865,1,3,1047,0,0,0.9,0.338493292053664,984,0,30,0,745,3,495,2,13244,48450,0,0,385867.138493292,2
0,0,8720,0,0,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,1.21,3371,2,41.8004234683423,3537.01042346834,623,102312,4602,470,0,0,50.5,9395,5782,5.3,0.4,741,,14.2,372,28,20,128317,,19495,35,115,154,54,14,24738,55.1,7862,36.2,8853,1,850,372,0,0,0.3,0,365,0,6,0,65,3,30,5,5760,3150,0,1,324752,1
85,0.634328358208955,3250,3,2.91047525482009,3341.54480361303,609,100572,4581,470,0,0,50.6,9382,5735,5.4,0.4,727,,14.5,370,28,20,126100,,19469,34,110,149,63,14,24687,55.2,7880,36.2,8780,1,848,370,0,0,0.3,9.28659286592866,353,0,5,0,60,3,360,2,5810,32520,0,1,350284.886592866,2
132,1.40425531914894,3165,3,4.12397873168201,3305.52823405083,600,99482,4500,410,0,0,50.3,9242,5697,5.4,0.3,715,,14.5,411,25,19,124675,,19188,34,135,140,88,14,24334,54.9,7804,35.9,5957,1,843,411,0,0,0.2,0.0922722029988466,406,0,5,0,60,3,0,1,5797,26010,3,1,337172.592272203,2
135,1.84931506849315,3033,2,7.13305898491084,3178.9823740534,591,102550,5230,410,0,0,0,10821,5877,5.4,0.3,737,,16.4,490,25,19,127627,,22556,38,135,203,95,19,27233,0,,,5356,1,1045,490,0,0,0.2,0.141342756183746,485,0,5,0,60,4,0,1,7359,42450,0,1,361935.441342756,2
64,1.93939393939394,2898,2,26.3671875,2992.30658143939,583,101336,5128,476,0,0,45.7,10595,5856,5.5,0.4,727,,16.2,1369,29,23,126154,,22332,40,390,359,269,311,27100,48.6,7612,35.6,31696,1,673,1369,0,0,1,0.174978127734033,1362,0,4,0,40,4,90,2,7226,34290,0,1,387600.174978128,2
37,0.493333333333333,2834,2,10.2264426588751,2883.71977599221,583,100403,5128,476,0,0,45.8,10595,5837,5.5,0.4,726,,16.2,1149,29,23,125293,,22332,40,214,325,259,311,27100,48.6,7612,35.8,15417,1,754,1149,0,0,0.5,2.77777777777778,1145,0,4,0,40,4,0,1,7226,720,0,1,335052.577777778,2
159,3.53333333333333,2797,5,1.41238767334967,2965.94572100668,583,100191,5117,432,0,0,45,10554,5832,5.5,0.3,726,,16.2,1134,27,21,125064,,22222,40,207,318,259,310,26989,47.9,7562,34.8,14123,1,760,1134,0,0,0.5,0.324825013621694,1131,0,3,0,30,3,0,1,7133,238590,2,1,570650.524825014,2
